Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Proteomics\Day 14.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,12/02/2019,,,,,,,,,,,,,
Time,15:27:29,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  240,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,24.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,3.09,3.1,3.127,3.134,3.117,3.136,3.099,3.092,3.093,3.124,3.128,3.13,240
,B,3.098,3.112,3.087,3.134,3.119,3.124,3.097,3.084,3.097,3.132,3.127,3.129,240
,C,3.086,3.098,3.093,3.115,3.108,3.132,3.096,3.09,3.096,3.111,3.121,3.116,240
,D,3.114,3.125,3.116,3.128,3.127,3.127,3.187,3.185,3.169,3.116,3.142,3.122,240
,E,3.111,3.127,3.106,3.123,3.127,3.133,3.193,3.19,3.208,3.165,3.114,3.118,240
,F,3.09,3.105,3.093,3.094,3.098,3.102,3.108,3.091,3.104,3.091,3.087,3.097,240
,G,3.105,3.087,3.095,3.094,3.096,3.107,3.095,3.09,3.101,3.094,3.099,3.098,240
,H,3.093,3.104,3.095,3.097,3.094,3.075,3.086,3.083,3.101,3.091,3.101,3.105,240
