Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\Jan 2019\Plastics\Day 7 TPA.xpt,,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,06/02/2019,,,,,,,,,,,,,
Time,11:27:19,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  240,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,35.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,3.203,3.187,3.188,3.146,3.136,3.158,3.191,3.24,3.2,3.16,3.123,3.158,240
,B,3.177,3.167,3.185,3.143,3.121,3.133,3.235,3.207,3.221,3.179,3.128,3.145,240
,C,3.131,3.128,3.128,3.113,3.119,3.13,3.226,3.199,3.215,3.117,3.12,3.123,240
,D,3.14,3.133,3.144,3.15,3.135,3.142,3.212,3.218,3.206,3.154,3.133,3.154,240
,E,3.142,3.121,3.115,3.127,3.14,3.127,3.247,3.224,3.229,3.169,3.161,3.136,240
,F,3.107,3.097,3.098,3.111,3.112,3.091,3.1,3.117,3.111,3.119,3.1,3.12,240
,G,3.119,3.1,3.117,3.107,3.105,3.108,3.087,3.119,3.105,3.109,3.105,3.122,240
,H,3.116,3.119,3.1,3.111,3.115,3.103,3.102,3.111,3.12,3.127,3.136,3.115,240
