Group,Genus,Family,Order,Class,Day00Inoc,Day01NoC,Day03NoC,Day07NoC,Day14NoC,Day21NoC,Day30NoC,Day42NoC,Day01LowCrysWater,Day03LowCrysWater,Day07LowCrysWater,Day14LowCrysWater,Day21LowCrysWater,Day30LowCrysWater,Day42LowCrysWater,Day01LowCrys,Day03LowCrys,Day07LowCrys,Day14LowCrys,Day21LowCrys,Day30LowCrys,Day42LowCrys,Day01PET,Day03PET,Day07PET,Day14PET,Day21PET,Day30PET,Day42PET,Day01WeatherPET,Day03WeatherPET,Day07WeatherPET,Day14WeatherPET,Day21WeatherPET,Day30WeatherPET,Day42WeatherPET,Day01BHET,Day03BHET,Day07BHET,Day14BHET,Day21BHET,Day30BHET,Day42BHET
ASV000001,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,22.78777467,34.60271265,35.09703927,34.6355051,31.41184109,30.73477425,31.00173915,37.2983292,30.63840415,35.10742246,34.81331986,35.66902296,39.40643195,38.59021172,42.17788595,25.95676772,26.36043376,26.20608236,19.71032085,22.54337647,28.85128458,27.19890138,39.02360785,39.97246303,36.66921247,34.966402,34.34506589,35.90386019,29.76539573,41.87770476,44.04251378,36.89988968,38.5139166,34.07188156,36.37264481,37.86014384,43.6504045,35.23190796,40.69154699,42.62901197,38.52596452,38.94253558,39.56915799
ASV000002,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria,5.763699962,2.722584286,5.217979267,2.058187799,1.370426603,1.849874594,1.434091965,0.50823344,24.27939043,25.04715664,23.6002948,10.1915458,2.828614744,1.045232278,0.643112438,19.92026894,16.86139071,23.26627105,18.00031494,16.02041665,4.189382713,1.970864849,13.19728809,10.61846695,4.460859399,3.717753003,3.498382903,3.247279748,2.838160093,13.56332149,9.977445919,6.719662459,3.838671146,3.947180018,2.84381363,1.626601928,0.390012729,0.097908999,0.157600384,0.090085681,0.218780192,0.224607466,0.220918163
ASV000003,Bacillus,Bacillaceae,Bacillales,Bacilli,0.028768938,17.27764931,13.29598118,13.2575705,12.36594349,11.93258108,13.91807108,8.30826449,11.92081359,4.709174316,5.765990735,9.939950599,13.40459668,16.9661949,11.22442186,2.228438392,4.463514648,3.938164154,2.576220457,5.507526641,10.21996655,8.327321998,7.394779274,4.218785314,4.073584857,7.796222034,8.455988348,6.199380919,7.593062199,3.209419984,1.74174905,1.975734864,2.973521969,4.42236676,3.282451716,2.652055453,0.005328761,0.001822589,0.001958825,0.001759944,0.007015328,0.003598061,0.009655955
ASV000004,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria,5.478658166,4.468276758,4.429328896,4.336969565,3.796822776,3.946958728,4.451291492,4.918649336,4.770387618,4.874855203,4.427892212,4.016441259,4.058966239,4.480371654,4.620432288,5.214960343,3.992149424,4.365487762,2.489697047,2.433226952,3.137756965,2.782928932,6.533576097,6.549974577,5.392684086,4.618478921,4.880222888,5.315737631,4.467843903,7.475550728,7.465478918,6.23608998,5.739016309,5.496064844,5.56328909,6.550096078,5.85776229,10.55484705,8.197339168,7.196572941,7.086155637,7.746494382,7.268835474
ASV000005,Sediminibacterium,Chitinophagaceae,Chitinophagales,Bacteroidia,0,0.008534608,0.004017115,0,0.009395494,0.014501525,0.001992429,0.004049239,0.022664813,0.002673225,0.001265935,0.014361626,0.008199286,0.002801591,0,1.009367791,0.816718072,0.513230413,0.74180492,1.303333066,0.525611575,0.919627355,0.00166135,0,0.001729446,0,0.004601883,0,0,0,0.003613845,0.006454539,0.004103911,0.001717151,0,0,0.006225642,0,0.012125028,0,0.007015328,0.005656437,0.006132148
ASV000006,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria,0.467838894,3.011177059,3.106223782,2.602898585,4.191987828,4.287202088,5.898933682,5.004790349,2.21499117,2.191192634,1.754737723,2.62187588,3.877409096,4.362841332,4.503040272,7.437316747,6.14055621,3.957268354,2.176484138,2.393870506,3.979922767,2.320426041,6.722253317,5.760300511,2.878687856,4.09983672,4.12492265,3.308674986,4.632912552,4.088820951,3.590619148,2.479673258,3.40662972,2.87465768,3.038091202,3.490515229,0.004956781,0.004311895,0.003011679,0.004550745,0.005218558,0,0.002736278
ASV000007,Sunxiuqinia,Prolixibacteraceae,Bacteroidales,Bacteroidia,0,0.008371003,0.004985915,0.548759139,3.151209312,5.407149543,5.438364223,5.522896425,0.004364075,0,0.043799346,1.07198124,1.371438855,1.257508729,0.977979589,0,0,0.212610913,1.234846243,0.576144398,0.31175275,0.206232169,0,0.00435483,8.013382194,9.86467903,8.973075133,7.633728602,8.043967211,0,0.006268604,11.87609574,9.017115067,11.98328181,8.650612309,7.353863951,0.001361211,0.001082005,0.442329756,7.539928869,6.572178378,5.442986584,5.455356092
ASV000008,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria,0.392715425,0.418215562,0.808314016,1.00400472,1.158035779,1.206225033,1.100417332,0.848781887,0.479372583,0.901034714,1.098612746,1.92052075,1.596500985,1.828151829,1.945987905,1.444855194,3.1449116,4.506569491,11.38043307,5.0609899,5.46757086,15.06391803,0.517821222,1.576490854,2.12005017,2.773177023,3.338502953,4.046762338,10.57069711,0.736433987,1.075953664,1.905949085,1.917575524,1.8958253,2.457910273,1.845554102,3.212067077,1.927240222,2.493665061,1.124254052,1.069193657,0.812025255,0.835012097
ASV000009,Thiobacimonas,Rhodobacteraceae,Rhodobacterales,Alphaproteobacteria,0.980278669,4.733900275,2.428398285,2.733269252,2.149521225,1.007228988,0.954182542,0.813894296,4.442791869,1.797135813,2.482917079,4.464033154,4.385659397,3.40536279,3.359844697,1.638177891,2.711846112,2.223067372,1.837132121,3.205600533,2.21655181,2.777638474,3.66135252,1.796951317,1.557378965,0.779021129,0.997921632,0.357270396,0.351895912,3.38038164,1.258013096,1.392966983,0.681295967,0.773444822,0.557650946,0.487424971,1.899198343,3.076924034,2.65855196,1.929256594,2.057194825,1.551779924,1.681845769
ASV000010,Thalassospira,Thalassospiraceae,Rhodospirillales,Alphaproteobacteria,0.023769033,2.813173094,3.223889014,3.481166705,2.407766951,1.354852993,0.909875701,1.040787228,2.448194721,3.436791633,3.136732317,3.61527341,2.999379733,1.764306158,1.344810852,1.256829732,3.183237948,1.507383852,1.085000502,2.076773805,7.829149406,1.691115188,1.106763924,2.689024029,5.519539678,3.085459396,2.690161533,1.913203581,1.039754457,1.91232474,3.099134549,2.707306295,1.966970407,1.894326633,1.581259474,1.243820004,0.022094983,0.054785707,0.078871233,0.030531514,0.059677245,0.063397874,0.01392714
