Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,bottle_id,Bytes,Center Name,Collection_date,Consent,cruise_id,cruise_station,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,geotraces_section,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Depth,Isolation_source,Biller_et_al.,_2018_metagenome_NCBI_BioProject,Biller_et_al.,_2018_metagenome_NCBI_BioSample,Biller_et_al.,_2018_metagenome_NCBI_SRA_Accession,Biller_et_al.,_2018_metagenome_NCBI_SRA_Study,Biller_et_al.,_2018_metagenome_Sample_Name,Biller_et_al.,_2018_metagenome_Total_read_pairs,Cruise_series,Depth_(m),sequencing_location,sequencing_read_depth,Sequencing_Technology
SRR5788016,WGS,300,8356666800,PRJNA385854,SAMN07136661,"MIMS.me,MIGS/MIMS/MIMARKS.water",638561,3767147765,MIT,2011-03-20,public,JC057,13,"fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974716,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,17.0173 S 30.6052 W,S0190,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0190,SRP110813,49m,,,,,,,,,,,,
SRR5788017,WGS,300,8790651000,PRJNA385854,SAMN07136660,"MIMS.me,MIGS/MIMS/MIMARKS.water",638336,3987883283,MIT,2011-03-18,public,JC057,12,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974715,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,22.4732 S 32.7487 W,S0189,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0189,SRP110813,150m,,,,,,,,,,,,
SRR5788020,WGS,300,9362550000,PRJNA385854,SAMN07136657,"MIMS.me,MIGS/MIMS/MIMARKS.water",639749,4224333529,MIT,2011-03-17,public,JC057,11,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974712,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,26.0867 S 34.2585 W,S0186,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0186,SRP110813,151m,,,,,,,,,,,,
SRR5788021,WGS,300,8057789700,PRJNA385854,SAMN07136656,"MIMS.me,MIGS/MIMS/MIMARKS.water",639758,3634423744,MIT,2011-03-17,public,JC057,11,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974711,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,26.0867 S 34.2585 W,S0185,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0185,SRP110813,50m,,,,,,,,,,,,
SRR5788023,WGS,300,6568873500,PRJNA385854,SAMN07136654,"MIMS.me,MIGS/MIMS/MIMARKS.water",639677,2976510810,MIT,2011-03-15,public,JC057,10,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974709,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,29.0538 S 35.8078 W,S0183,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0183,SRP110813,150m,,,,,,,,,,,,
SRR5788024,WGS,300,7396206300,PRJNA385854,SAMN07136653,"MIMS.me,MIGS/MIMS/MIMARKS.water",639686,3329172871,MIT,2011-03-15,public,JC057,10,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974708,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,29.0538 S 35.8078 W,S0182,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0182,SRP110813,50m,,,,,,,,,,,,
SRR5788026,WGS,300,10018935600,PRJNA385854,SAMN07136919,"MIMS.me,MIGS/MIMS/MIMARKS.water",237655,3732212245,MIT,2010-10-20,public,D357,2,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974706,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,35.36689 S 14.90645 E,S0457,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0457,SRP110813,81.5m,,,,,,,,,,,,
SRR5788029,WGS,300,5621148000,PRJNA385854,SAMN07136918,"MIMS.me,MIGS/MIMS/MIMARKS.water",237656,2195679830,MIT,2010-10-20,public,D357,2,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974703,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,35.36689 S 14.90645 E,S0456,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0456,SRP110813,61.4m,,,,,,,,,,,,
SRR5788030,WGS,300,11223991500,PRJNA385854,SAMN07136915,"MIMS.me,MIGS/MIMS/MIMARKS.water",237665,4293761243,MIT,2010-10-20,public,D357,2,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974702,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,35.36689 S 14.90645 E,S0453,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0453,SRP110813,6.4m,,,,,,,,,,,,
SRR5788038,WGS,300,9572106300,PRJNA385854,SAMN07136736,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station11Cast12Niskin13,4228361059,MIT,2011-05-19,public,SS2011,11,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974694,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,30 S 162.998 E,S0269,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0269,SRP110813,30m,,,,,,,,,,,,
SRR5788045,WGS,300,5165496000,PRJNA385854,SAMN07136741,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station15Cast17Niskin13,2400298958,MIT,2011-05-21,public,SS2011,15,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974687,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,30 S 167 E,S0274,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0274,SRP110813,30m,,,,,,,,,,,,
SRR5788046,WGS,300,4558572900,PRJNA385854,SAMN07136742,"MIMS.me,MIGS/MIMS/MIMARKS.water",SS2011Station15Cast17Niskin11,2003107909,MIT,2011-05-21,public,SS2011,15,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974686,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,30 S 167 E,S0275,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0275,SRP110813,50m,,,,,,,,,,,,
SRR5788049,WGS,300,6724090500,PRJNA385854,SAMN07136811,"MIMS.me,MIGS/MIMS/MIMARKS.water",1156007,2771237635,MIT,2011-06-18,public,TAN1109,GT17,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974683,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.50383 S 156.01067 W,S0348,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0348,SRP110813,77m,,,,,,,,,,,,
SRR5788051,WGS,300,17176000800,PRJNA385854,SAMN07136809,"MIMS.me,MIGS/MIMS/MIMARKS.water",1156019,6878974543,MIT,2011-06-18,public,TAN1109,GT17,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974681,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.50383 S 156.01067 W,S0346,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0346,SRP110813,31m,,,,,,,,,,,,
SRR5788053,WGS,300,6040519500,PRJNA385854,SAMN07136807,"MIMS.me,MIGS/MIMS/MIMARKS.water",1155860,2513220483,MIT,2011-06-18,public,TAN1109,GT16,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974679,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.494 S 157.00883 W,S0344,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0344,SRP110813,102m,,,,,,,,,,,,
SRR5788063,WGS,300,5315816400,PRJNA385854,SAMN07136545,"MIMS.me,MIGS/MIMS/MIMARKS.water",845309,2558503309,MIT,2011-11-10,public,KN204,3,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974669,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,38.65497 N 69.13131 W,S0067,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0067,SRP110813,108.8m,,,,,,,,,,,,
SRR5788065,WGS,300,5254556400,PRJNA385854,SAMN07136543,"MIMS.me,MIGS/MIMS/MIMARKS.water",845303,2192982416,MIT,2011-11-10,public,KN204,3,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974667,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,38.65497 N 69.13131 W,S0065,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0065,SRP110813,61.2m,,,,,,,,,,,,
SRR5788069,WGS,300,9195280800,PRJNA385854,SAMN07136547,"MIMS.me,MIGS/MIMS/MIMARKS.water",845315,4022591143,MIT,2011-11-10,public,KN204,3,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974663,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,38.65497 N 69.13131 W,S0069,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0069,SRP110813,186.5m,,,,,,,,,,,,
SRR5788073,WGS,300,7990696800,PRJNA385854,SAMN07136955,"MIMS.me,MIGS/MIMS/MIMARKS.water",237881,3315411781,MIT,2010-11-12,public,D357,3 reoccupied,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974659,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,36.4495 S 13.21958 E,S0493,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0493,SRP110813,80.9m,,,,,,,,,,,,
SRR5788090,WGS,300,8284634100,PRJNA385854,SAMN07136592,"MIMS.me,MIGS/MIMS/MIMARKS.water",845126,3658987507,MIT,2011-11-08,public,KN204,1,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974642,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,39.69225 N 69.86286 W,S0115,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0115,SRP110813,57.8m,,,,,,,,,,,,
SRR5788097,WGS,300,6946355400,PRJNA385854,SAMN07136847,"MIMS.me,MIGS/MIMS/MIMARKS.water",1153148,3016098482,MIT,2011-06-15,public,TAN1109,GT11,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974635,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.509 S 162.009 W,S0385,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0385,SRP110813,30m,,,,,,,,,,,,
SRR5788103,WGS,300,6892080600,PRJNA385854,SAMN07136684,"MIMS.me,MIGS/MIMS/MIMARKS.water",638006,2865793942,MIT,2011-03-08,public,JC057,3,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974629,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,46.907 S 47.179 W,S0215,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0215,SRP110813,51m,,,,,,,,,,,,
SRR5788113,WGS,300,6893180100,PRJNA385854,SAMN07136624,"MIMS.me,MIGS/MIMS/MIMARKS.water",633233,3002959539,MIT,2010-06-17,public,PE321,25,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974619,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,24.7143 N 67.0726 W,S0149,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0149,SRP110813,119m,,,,,,,,,,,,
SRR5788114,WGS,300,11654977200,PRJNA385854,SAMN07136629,"MIMS.me,MIGS/MIMS/MIMARKS.water",633521,5076652291,MIT,2010-06-19,public,PE321,27,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974618,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,22.3411 N 63.5833 W,S0154,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0154,SRP110813,100m,,,,,,,,,,,,
SRR5788117,WGS,300,7370720400,PRJNA385854,SAMN07136628,"MIMS.me,MIGS/MIMS/MIMARKS.water",633524,3214634605,MIT,2010-06-19,public,PE321,27,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974615,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,22.3411 N 63.5833 W,S0153,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0153,SRP110813,75m,,,,,,,,,,,,
SRR5788120,WGS,300,5988074700,PRJNA385854,SAMN07136867,"MIMS.me,MIGS/MIMS/MIMARKS.water",1156493,2496596474,MIT,2011-06-20,public,TAN1109,GT20,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974612,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.494 S 153.00567 W,S0405,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0405,SRP110813,101m,,,,,,,,,,,,
SRR5788130,WGS,300,7189115700,PRJNA385854,SAMN07136910,"MIMS.me,MIGS/MIMS/MIMARKS.water",237616,2806127378,MIT,2010-10-19,public,D357,1,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974602,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,34.62898 S 17.06995 E,S0448,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0448,SRP110813,21.1m,,,,,,,,,,,,
SRR5788136,WGS,300,3815336400,PRJNA385854,SAMN07136912,"MIMS.me,MIGS/MIMS/MIMARKS.water",237614,1630551775,MIT,2010-10-19,public,D357,1,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",ocean_biome,ocean,water,SRX2974596,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,34.62898 S 17.06995 E,S0450,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0450,SRP110813,40.8m,,,,,,,,,,,,
SRR5788137,WGS,300,5393117700,PRJNA385854,SAMN07136911,"MIMS.me,MIGS/MIMS/MIMARKS.water",237615,2136587073,MIT,2010-10-19,public,D357,1,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974595,uncalculated,uncalculated,Atlantic Ocean,GA10,NextSeq 550,34.62898 S 17.06995 E,S0449,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0449,SRP110813,31.2m,,,,,,,,,,,,
SRR5788144,WGS,300,6576689100,PRJNA385854,SAMN07136523,"MIMS.me,MIGS/MIMS/MIMARKS.water",636299,3021772555,MIT,2010-06-24,public,PE321,31,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974588,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,16.8312 N 56.2685 W,S0044,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0044,SRP110813,8m,,,,,,,,,,,,
SRR5788148,WGS,300,8563243800,PRJNA385854,SAMN07136724,"MIMS.me,MIGS/MIMS/MIMARKS.water",1155656,3596627619,MIT,2011-06-17,public,TAN1109,GT15,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",ocean_biome,ocean,water,SRX2974584,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.495 S 157.9945 W,S0257,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0257,SRP110813,100m,,,,,,,,,,,,
SRR5788150,WGS,300,5495650200,PRJNA385854,SAMN07136726,"MIMS.me,MIGS/MIMS/MIMARKS.water",1155833,2414635358,MIT,2011-06-17,public,TAN1109,GT15,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974582,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.5125 S 158.028 W,S0259,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0259,SRP110813,1008m,,,,,,,,,,,,
SRR5788152,WGS,300,8155965000,PRJNA385854,SAMN07136728,"MIMS.me,MIGS/MIMS/MIMARKS.water",1155905,3591153621,MIT,2011-06-18,public,TAN1109,GT16,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",ocean_biome,ocean,water,SRX2974580,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.494 S 157.00883 W,S0261,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0261,SRP110813,15m,,,,,,,,,,,,
SRR5788169,WGS,300,6637782000,PRJNA385854,SAMN07136718,"MIMS.me,MIGS/MIMS/MIMARKS.water",853064,2761326552,MIT,2010-11-02,public,KN199-4,12,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",ocean_biome,ocean,water,SRX2974563,uncalculated,uncalculated,Atlantic Ocean,GA03,NextSeq 550,17.4 N 24.4998 W,S0250,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0250,SRP110813,2m,,,,,,,,,,,,
SRR5788178,WGS,300,6201880800,PRJNA385854,SAMN07136834,"MIGS/MIMS/MIMARKS.water,MIMS.me",1154399,2717474154,MIT,2011-06-13,public,TAN1109,GT7,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",ocean_biome,ocean,water,SRX2974554,uncalculated,uncalculated,Pacific Ocean,GP13,NextSeq 550,32.4985 S 165.99883 W,S0372,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0372,SRP110813,16m,,,,,,,,,,,,
SRR5788180,WGS,300,5166884100,PRJNA385854,SAMN07136671,"MIMS.me,MIGS/MIMS/MIMARKS.water",638912,2253097616,MIT,2011-03-24,public,JC057,16,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974552,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,5.6667 S 28.4572 W,S0201,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0201,SRP110813,149m,,,,,,,,,,,,
SRR5788184,WGS,300,6401225400,PRJNA385854,SAMN07136667,"MIMS.me,MIGS/MIMS/MIMARKS.water",638849,2731774634,MIT,2011-03-23,public,JC057,15,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",ocean_biome,ocean,water,SRX2974548,uncalculated,uncalculated,Atlantic Ocean,GA02,NextSeq 550,9.1608 S 28.0012 W,S0197,PAIRED,RANDOM,METAGENOMIC,marine metagenome,ILLUMINA,2018-05-01T00:00:00Z,S0197,SRP110813,50m,,,,,,,,,,,,
