Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\PET degradation\3 month plate 1 protein.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\protein_content_protocol.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,07/11/2018,,,,,,,,,,,,,
Time,15:53:53,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,26.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.153,0.137,0.143,0.125,0.12,0.125,0.135,0.154,0.134,0.043,0.109,0.113,562
,B,0.158,0.144,0.149,0.129,0.129,0.152,0.144,0.137,0.15,0.045,0.14,0.136,562
,C,0.156,0.141,0.134,0.128,0.128,0.126,0.14,0.14,0.145,0.044,0.229,0.239,562
,D,0.159,0.149,0.14,0.134,0.137,0.137,0.141,0.145,0.157,0.044,0.353,0.368,562
,E,0.167,0.147,0.143,0.144,0.141,0.145,0.153,0.157,0.172,0.044,0.563,0.571,562
,F,0.178,0.164,0.158,0.146,0.15,0.151,0.166,0.169,0.182,0.044,0.778,0.791,562
,G,0.242,0.172,0.163,0.152,0.15,0.15,0.158,0.164,0.174,0.044,0.045,0.044,562
,H,0.234,0.224,0.213,0.218,0.222,0.236,0.204,0.21,0.223,0.046,0.043,0.045,562
