Software Version,3.00.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Experiment File Path:,C:\Users\Public\Documents\Experiments\RW\PET degradation\3 month plate 2 protein.xpt,,,,,,,,,,,,,
Protocol File Path:,C:\Users\Public\Documents\Protocols\protein_content_protocol.prt,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,,
Date,07/11/2018,,,,,,,,,,,,,
Time,15:55:19,,,,,,,,,,,,,
Reader Type:,Synergy HTX,,,,,,,,,,,,,
Reader Serial Number:,1607191D,,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,,
Plate Type,96 WELL PLATE,,,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,
Actual Temperature:,26.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,
,A,0.167,0.153,0.148,0.146,0.132,0.144,0.15,0.148,0.153,0.043,0.11,0.115,562
,B,0.178,0.163,0.175,0.145,0.144,0.15,0.166,0.177,0.183,0.045,0.139,0.146,562
,C,0.167,0.16,0.142,0.141,0.149,0.144,0.162,0.159,0.167,0.044,0.251,0.255,562
,D,0.171,0.159,0.152,0.148,0.152,0.155,0.168,0.17,0.179,0.044,0.374,0.439,562
,E,0.173,0.163,0.156,0.156,0.162,0.173,0.172,0.179,0.191,0.044,0.581,0.575,562
,F,0.188,0.17,0.166,0.168,0.17,0.173,0.174,0.183,0.202,0.043,0.773,0.82,562
,G,0.174,0.167,0.157,0.162,0.173,0.169,0.179,0.184,0.196,0.044,0.043,0.044,562
,H,0.162,0.158,0.159,0.161,0.166,0.172,0.175,0.178,0.185,0.047,0.044,0.046,562
