,Genome match,Distance,E-value 1,E-value 2,E-value others,PETase copies
ASV004312,2740892159,0.016977,9.20E-14,1.70E-09,8.68E-05,5
ASV000486,2619619033,0.119518,2.20E-142,1.60E-102,1.70E-88,3
ASV001181,2619619033,0.065618,2.20E-142,1.60E-102,1.70E-88,3
ASV002737,2619619033,0.080529,2.20E-142,1.60E-102,1.70E-88,3
ASV008825,2619619033,0.133157,2.20E-142,1.60E-102,1.70E-88,3
ASV009119,2619619033,0.076914,2.20E-142,1.60E-102,1.70E-88,3
ASV000020,2663762778,0.001703,4.20E-151,3.30E-09,0.01,2
ASV000043,2663762778,0.035355,4.20E-151,3.30E-09,0.01,2
ASV000098,2663762778,0.025446,4.20E-151,3.30E-09,0.01,2
ASV000126,2663762778,0.096259,4.20E-151,3.30E-09,0.01,2
ASV000272,2663762778,0.016602,4.20E-151,3.30E-09,0.01,2
ASV000621,2663762778,0.015196,4.20E-151,3.30E-09,0.01,2
ASV000859,2663762778,0.123916,4.20E-151,3.30E-09,0.01,2
ASV001422,2663762778,0.042492,4.20E-151,3.30E-09,0.01,2
ASV001672,2663762778,0.031724,4.20E-151,3.30E-09,0.01,2
ASV001853,2663762778,0.040855,4.20E-151,3.30E-09,0.01,2
ASV001854,2663762778,0.067114,4.20E-151,3.30E-09,0.01,2
ASV002089,2663762778,0.040835,4.20E-151,3.30E-09,0.01,2
ASV002319,2663762778,0.040916,4.20E-151,3.30E-09,0.01,2
ASV002442,2663762778,0.044851,4.20E-151,3.30E-09,0.01,2
ASV002594,2663762778,0.031421,4.20E-151,3.30E-09,0.01,2
ASV002886,2663762778,0.052313,4.20E-151,3.30E-09,0.01,2
ASV002887,2663762778,0.041137,4.20E-151,3.30E-09,0.01,2
ASV002893,2663762778,0.048391,4.20E-151,3.30E-09,0.01,2
ASV003071,2663762778,0.027608,4.20E-151,3.30E-09,0.01,2
ASV003511,2663762778,0.05567,4.20E-151,3.30E-09,0.01,2
ASV003774,2663762778,0.076832,4.20E-151,3.30E-09,0.01,2
ASV004316,2663762721,0.057288,2.20E-142,4.50E-102,0.01,2
ASV004344,2663762778,0.046075,4.20E-151,3.30E-09,0.01,2
ASV004730,2663762778,0.071374,4.20E-151,3.30E-09,0.01,2
ASV004738,2663762778,0.020367,4.20E-151,3.30E-09,0.01,2
ASV005178,2663762778,0.01346,4.20E-151,3.30E-09,0.01,2
ASV005194,2663762778,0.081174,4.20E-151,3.30E-09,0.01,2
ASV005219,2663762778,0.016921,4.20E-151,3.30E-09,0.01,2
ASV005294,2663762778,0.047799,4.20E-151,3.30E-09,0.01,2
ASV005304,2663762778,0.020503,4.20E-151,3.30E-09,0.01,2
ASV005761,2663762778,0.058349,4.20E-151,3.30E-09,0.01,2
ASV005769,2663762778,0.376935,4.20E-151,3.30E-09,0.01,2
ASV005789,2663762778,0.044454,4.20E-151,3.30E-09,0.01,2
ASV005905,2663762778,0.042265,4.20E-151,3.30E-09,0.01,2
ASV006452,2663762778,0.050743,4.20E-151,3.30E-09,0.01,2
ASV006460,2563366573,0.223714,7.00E-07,8.30E-07,0.01,2
ASV006758,2663762778,0.029277,4.20E-151,3.30E-09,0.01,2
ASV006801,2663762778,0.054357,4.20E-151,3.30E-09,0.01,2
ASV006826,2663762778,0.264975,4.20E-151,3.30E-09,0.01,2
ASV007101,2663762778,0.172893,4.20E-151,3.30E-09,0.01,2
ASV007925,2563366573,0.204576,7.00E-07,8.30E-07,0.01,2
ASV008182,2663762778,0.057375,4.20E-151,3.30E-09,0.01,2
ASV008485,2663762778,0.119848,4.20E-151,3.30E-09,0.01,2
ASV008802,2663762778,0.060714,4.20E-151,3.30E-09,0.01,2
ASV008806,2663762778,0.071454,4.20E-151,3.30E-09,0.01,2
ASV008847,2663762778,0.124585,4.20E-151,3.30E-09,0.01,2
ASV008855,2663762778,0.112899,4.20E-151,3.30E-09,0.01,2
ASV008860,2663762778,0.04294,4.20E-151,3.30E-09,0.01,2
ASV008863,2663762778,0.062557,4.20E-151,3.30E-09,0.01,2
ASV009377,2663762778,0.037053,4.20E-151,3.30E-09,0.01,2
ASV009381,2663762778,0.056074,4.20E-151,3.30E-09,0.01,2
ASV009408,2663762778,0.066676,4.20E-151,3.30E-09,0.01,2
ASV009426,2663762778,0.276379,4.20E-151,3.30E-09,0.01,2
ASV009448,2663762778,0.070718,4.20E-151,3.30E-09,0.01,2
ASV009483,2663762778,0.011811,4.20E-151,3.30E-09,0.01,2
ASV009555,2663762778,0.085786,4.20E-151,3.30E-09,0.01,2
ASV009940,2663762778,0.177151,4.20E-151,3.30E-09,0.01,2
ASV009947,2663762778,0.050283,4.20E-151,3.30E-09,0.01,2
ASV009960,2663762778,0.136648,4.20E-151,3.30E-09,0.01,2
ASV009965,2663762778,0.108656,4.20E-151,3.30E-09,0.01,2
ASV009972,2663762778,0.017001,4.20E-151,3.30E-09,0.01,2
ASV009988,2663762778,0.135318,4.20E-151,3.30E-09,0.01,2
ASV009994,2663762778,0.044198,4.20E-151,3.30E-09,0.01,2
ASV010004,2663762778,0.150006,4.20E-151,3.30E-09,0.01,2
ASV010052,2663762778,0.080702,4.20E-151,3.30E-09,0.01,2
ASV010061,2663762778,0.062031,4.20E-151,3.30E-09,0.01,2
ASV010100,2663762778,0.411003,4.20E-151,3.30E-09,0.01,2
ASV010979,2563366573,0.247067,7.00E-07,8.30E-07,0.01,2
ASV011523,2663762778,0.107627,4.20E-151,3.30E-09,0.01,2
ASV011883,2663762778,0.081822,4.20E-151,3.30E-09,0.01,2
ASV012056,2663762778,0.118867,4.20E-151,3.30E-09,0.01,2
ASV012061,2663762778,0.116575,4.20E-151,3.30E-09,0.01,2
ASV012068,2663762778,0.016991,4.20E-151,3.30E-09,0.01,2
ASV012082,2663762778,0.162874,4.20E-151,3.30E-09,0.01,2
ASV012585,2663762778,0.361708,4.20E-151,3.30E-09,0.01,2
ASV012633,2663762778,0.044335,4.20E-151,3.30E-09,0.01,2
ASV012665,2663762778,0.062204,4.20E-151,3.30E-09,0.01,2
ASV012666,2663762778,0.057935,4.20E-151,3.30E-09,0.01,2
ASV012702,2663762778,0.150373,4.20E-151,3.30E-09,0.01,2
ASV012771,2663762778,0.086027,4.20E-151,3.30E-09,0.01,2
ASV012788,2663762778,0.124917,4.20E-151,3.30E-09,0.01,2
ASV012904,2663762778,0.029455,4.20E-151,3.30E-09,0.01,2
ASV012910,2663762778,0.112334,4.20E-151,3.30E-09,0.01,2
ASV013503,2663762778,0.085432,4.20E-151,3.30E-09,0.01,2
ASV013508,2663762778,0.062265,4.20E-151,3.30E-09,0.01,2
ASV013542,2663762778,0.143241,4.20E-151,3.30E-09,0.01,2
ASV013553,2663762778,0.128623,4.20E-151,3.30E-09,0.01,2
ASV013564,2663762778,0.060307,4.20E-151,3.30E-09,0.01,2
ASV013593,2663762778,0.053577,4.20E-151,3.30E-09,0.01,2
