,index,E-value 1,E-value 2,E-value others
0,646311938,8.899999999999999e-140,0.01,0.01
1,2634166275,2.8999999999999996e-143,2.2999999999999994e-112,0.01
2,2724679686,5.9999999999999984e-117,0.01,0.01
3,2687453197-cluster,5.0999999999999986e-142,0.01,0.01
4,2524614673,1.3999999999999997e-137,0.01,0.01
5,2508501012,2.9999999999999987e-152,0.01,0.01
6,2508501013,6.799999999999998e-148,0.01,0.01
7,646311958,3.1999999999999993e-137,0.01,0.01
8,646311963,3.799999999999999e-148,4.199999999999999e-147,5.1999999999999986e-110
9,2687453220,1.4999999999999995e-142,0.01,0.01
10,2681813029-cluster,0.0061,0.01,0.01
11,2622736432,6.799999999999997e-135,0.01,0.01
12,2508501044,1.1999999999999997e-150,0.01,0.01
13,2634166327,1.9999999999999996e-146,0.0013,0.01
14,2706794553,2.0999999999999993e-139,0.01,0.01
15,2634166331,3.499999999999999e-139,3.8999999999999993e-109,0.01
16,2582581313,1.3999999999999997e-136,0.01,0.01
17,2634166338,8.899999999999997e-130,3.799999999999999e-127,6.499999999999999e-104
18,2634166339,9.699999999999997e-145,5.199999999999998e-106,0.01
19,2634166340-cluster,4.499999999999999e-136,0.01,0.01
20,2634166348,6.099999999999999e-141,4.4999999999999983e-110,0.01
21,2690316366,0.0012,0.01,0.01
22,2585428062,8.599999999999998e-121,0.01,0.01
23,2724679777,1.1999999999999996e-132,3.099999999999999e-125,0.01
24,2537562210,1.6e-36,8.699999999999999e-20,0.01
25,2634166371,5.099999999999999e-56,0.01,0.01
26,2517287016,2.599999999999999e-147,1.5999999999999997e-145,0.01
27,2596583529,3.5999999999999993e-124,0.01,0.01
28,2596583533,1.0999999999999997e-142,1.7999999999999996e-137,4.799999999999998e-100
29,2724679791,3.5999999999999995e-114,0.01,0.01
30,2596583537,1.0999999999999997e-131,0.01,0.01
31,2687453302,4.3999999999999995e-136,0.01,0.01
32,2724679801-cluster,1.8999999999999995e-138,4.2999999999999996e-83,0.01
33,2554235005,2.7999999999999994e-138,0.01,0.01
34,2508501119,1.4e-149,0.01,0.01
35,2622736513,6.299999999999998e-135,2.799999999999999e-132,0.01
36,2739368068,4.1999999999999995e-82,0.01,0.01
37,2622736519,0.002,0.01,0.01
38,2590828683,3.199999999999999e-133,1.4999999999999996e-102,5.2857142857142854e-49
39,2524614800,2.4999999999999994e-106,9.499999999999996e-105,0.01
40,2596583569,1.2999999999999997e-127,0.01,0.01
41,2622736531,9.199999999999997e-144,9.999999999999998e-119,0.01
42,2554235027,1.8999999999999995e-135,0.01,0.01
43,2554235028,7.999999999999998e-135,0.01,0.01
44,2622736534,3.599999999999999e-130,0.01,0.01
45,2622736535,4.499999999999999e-137,0.01,0.01
46,2684622998,2.1999999999999998e-104,0.01,0.01
47,2684623000,0.0057,0.01,0.01
48,2554235034,1.0999999999999998e-132,0.01,0.01
49,2740891805,2.0999999999999994e-141,0.01,0.01
50,2596583595,7.199999999999999e-126,0.01,0.01
51,2511231151,4.799999999999999e-121,0.01,0.01
52,2596583604,1.2999999999999997e-127,0.01,0.01
53,2523533511,4.799999999999998e-142,0.01,0.01
54,2622736584,6.899999999999999e-122,1.5999999999999998e-78,6.5e-58
